Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"csv/AP",0.2559408598953419,0.2555295878463916,0.2564214640670947,7.535647836290503e-4,5.289165131402505e-4,1.1007383034884746e-3
"csv/P2",0.33417589006959725,0.33303651152192876,0.3366537743621998,2.7433015371785816e-3,1.2090687401168404e-3,4.437245132029071e-3
"csv/P3",0.31748618422090336,0.3163049870544605,0.32079612551271247,3.1336663462263946e-3,8.281965750544481e-4,5.247145039133307e-3
"csv/U1",0.7320213967376882,0.7313590699249439,0.7332932168060474,1.509558920789233e-3,7.5584215035076e-4,2.3438287825563162e-3
"csv/U2",0.29874040422975345,0.29778115091859625,0.3014395648056201,2.5720446915902403e-3,6.797072837530735e-4,4.28035764450967e-3
"csv/PP",0.5937960797363453,0.5916628056579761,0.5952624493652515,2.9667869064996595e-3,1.564861701374407e-3,4.959203617761899e-3
"expr/AP",0.5180914813095264,0.5173019105011158,0.5210086995178395,2.3659069740202287e-3,1.7391839781605254e-4,3.9259068952765845e-3
"expr/P2",0.870573061090105,0.8690500193649464,0.8728043490463429,3.131292714978374e-3,2.105669453052141e-3,4.103847327923672e-3
"expr/P3",0.8138463908249073,0.8115283185058765,0.817103903871172,4.607690573309406e-3,2.4031851121740053e-3,7.355985701763307e-3
"expr/U1",1.2591158801132374,1.2568897181564502,1.2618101054245165,4.186238952418683e-3,2.825839133232165e-3,6.285104221496101e-3
"expr/U2",1.8766675168090992,1.8744719677978685,1.8789711409622365,3.840215703919206e-3,2.5268723886699433e-3,5.721714504897577e-3
"expr/PP",0.9613932066970996,0.9599154168182545,0.9637460166031055,3.128255168202149e-3,1.309678067980165e-3,4.060615286236611e-3
"url/AP",1.2536917382293873,1.2527520829254322,1.25496842203676,1.8543759709271585e-3,1.1115472867253284e-3,2.4815456855064345e-3
"url/P2",1.683061879258745,1.6805697136932543,1.6853777819687061,4.112883475202353e-3,3.2727962973451413e-3,5.227709242321935e-3
"url/P3",1.8646652155929737,1.8626640015655689,1.8678841763549976,4.256063766794245e-3,2.567707379654471e-3,6.544796624682626e-3
"url/U1",2.9064489298874077,2.8913262539917164,2.9271367722564867,3.0260824976157136e-2,2.10543406082634e-2,3.7582932507968576e-2
"url/U2",4.278341405969256,4.270413916688554,4.281946819406146,8.730633828079143e-3,3.682836719787308e-3,1.4231643351196204e-2
"url/PP",4.671833770852679,4.666638391595477,4.678968542199724,1.0417000658113552e-2,6.323637557011411e-3,1.6643420363241266e-2
"http/AP",1.1568502121978932,1.155663292985552,1.1590043479019339,2.6383449456122347e-3,1.6064481840800898e-3,3.965864853908045e-3
"http/P2",8.175551241021747,8.149428623300189,8.182720058541886,2.1209221957442077e-2,1.9620348584710274e-3,3.522401031058583e-2
"http/P3",2.1561001711898977,2.153467791658037,2.157767885308855,3.5339861283202436e-3,1.9410684750557471e-3,5.590509917623718e-3
"http/U1",3.490309970956438,3.4766055756622483,3.505804913621538,2.4877844018554814e-2,1.980628541628348e-2,3.150167978459256e-2
"http/U2",4.060333269219988,4.05736054716646,4.068798726182573,7.893848866586124e-3,2.005055738806278e-3,1.3135649472207862e-2
"http/PP",6.713506978135698,6.685863345246904,6.723738687615984,2.7079374258594503e-2,7.660042678285415e-3,4.522644460263138e-2
"json/AP",0.4118970089965992,0.41145695982515146,0.4130324774795704,1.15038094847181e-3,3.1976975798383853e-4,1.9423930771745176e-3
"json/P2",0.8543512040191822,0.8536294394546681,0.8556897097641163,1.5935392971099733e-3,3.4507730300773696e-4,2.2860505762972608e-3
"json/P3",1.2997943812423878,1.2976560288482837,1.3037193232589894,4.7195631179368525e-3,1.2273305885866122e-3,6.18257966917929e-3
"json/U1",1.0438735180908374,1.0429399424606494,1.0449922495895558,1.7392717441800558e-3,1.229959684416963e-3,2.447823423253509e-3
"json/U2",1.3299987965637379,1.3291380101257495,1.3309852772766284,1.5797316933278038e-3,1.3114255425681622e-3,1.8639452086527308e-3
"json/PP",0.6663974457794362,0.6656789713913136,0.6683160477691822,1.8913154172239138e-3,5.114136776793644e-4,3.1825637514279552e-3
"css/AP",0.47803189096986576,0.47649745283662603,0.48254932699739256,4.696137728069973e-3,4.8931672701483096e-5,7.796664764501815e-3
"css/P2",1.8210253888183763,1.819108479600542,1.823190920930498,3.4311292025887646e-3,2.920821629347912e-3,3.966019012128173e-3
"css/P3",1.448529594522112,1.4473993712478808,1.4502025061660937,2.3183974222850748e-3,1.558181409677904e-3,3.4376317744945224e-3
"css/U1",3.258017318826311,3.2382225447708297,3.2815090590530565,3.6836296130077315e-2,2.774698365597495e-2,4.93290925169932e-2
"css/U2",1.200292461495989,1.1989712887817552,1.2041849309021169,3.3758880678407e-3,9.7511910697141e-4,5.591136288396837e-3
"css/PP",1.939436953645342,1.9369639569336108,1.9416838580185105,4.0348283848879365e-3,3.033890775048266e-3,5.322015235231328e-3
