Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"csv/AP",0.266728869059474,0.2656866937665052,0.27028085289278697,2.9427628116522647e-3,5.089004244817987e-4,4.893787881570076e-3
"csv/P2",0.23802641926089,0.23742868004122447,0.2395300537137098,1.5337942907412173e-3,5.018678992514359e-4,2.555680057473763e-3
"csv/P3",0.368461194613368,0.36718107757845597,0.3719530492810316,3.4244795699276947e-3,9.185407458108759e-4,5.705092148294087e-3
"csv/U1",1.1141843467740125,1.1123946338681285,1.1169960886029309,3.7599439521276375e-3,2.037750160374137e-3,5.41295335137266e-3
"csv/U2",0.3485642105130263,0.3473781257657118,0.3509748130826063,2.7606439548545293e-3,1.3143964095934434e-3,4.454150679884733e-3
"csv/PP",0.6702209859875745,0.6687514930752821,0.6728972822217054,3.162561877086316e-3,3.526008657981927e-4,4.3262354573831135e-3
"expr/AP",0.43186029491701794,0.4308743625668593,0.434778562167079,2.951905087273187e-3,2.0487939999425597e-4,4.917986319638844e-3
"expr/P2",0.841143193819911,0.8392854600934095,0.8444824844388075,4.134842173321575e-3,2.0208495789858388e-3,6.287181954436592e-3
"expr/P3",1.0929935127286021,1.0900769144085949,1.097742906191737,6.2523879879776536e-3,3.85799678519703e-3,8.890233140346888e-3
"expr/U1",2.1110850959805556,2.108027163126857,2.1148544460324357,5.7948075772090955e-3,4.475605649882926e-3,7.219415737032916e-3
"expr/U2",2.0916793018368782,2.0894941955594133,2.094868150332362,4.481361583085186e-3,3.2582341774597943e-3,6.369810507443108e-3
"expr/PP",1.4751566082028453,1.473404994585902,1.4781505256680554,3.8175624419702573e-3,1.2637039544021863e-3,4.99505647488153e-3
"url/AP",1.2790966659573622,1.2778252512005872,1.2811387449292249,2.705539143953468e-3,1.0468612753613941e-3,3.594707268381983e-3
"url/P2",1.6733528047589368,1.6705487161664074,1.675851407626063,4.515932406604211e-3,2.9876861604617435e-3,6.848276023705968e-3
"url/P3",2.247897592165858,2.2456678777722425,2.250123348811061,3.8127486269438553e-3,3.2648380112165606e-3,4.530315566541988e-3
"url/U1",3.9967461973218033,3.9930469661740364,4.001128688433558,6.866271890556035e-3,5.198281860138325e-3,9.083306799862335e-3
"url/U2",4.257956805804165,4.254626694300564,4.267514529803187,9.111931735896733e-3,2.0124853677986614e-3,1.5317545203488301e-2
"url/PP",1.9685642152813976,1.9663993507412976,1.9712393671063488,4.095148398002001e-3,3.068781128796364e-3,5.04913626681496e-3
"http/AP",1.213091626742274,1.2117999225644178,1.2150310903576915,2.7148782450207563e-3,1.6935737513645434e-3,3.359581193823519e-3
"http/P2",1.3382184892682143,1.335039654353053,1.346942272761256,8.40351605740997e-3,2.4464595790901697e-3,1.3810674300110402e-2
"http/P3",2.1858458667782847,2.1843327909497328,2.1885598093060556,3.3647595998670264e-3,1.7950743747426525e-3,5.299980822289468e-3
"http/U1",5.1141338974026755,5.091515508273036,5.134904184916408,3.7018791553619076e-2,2.839726816629632e-2,4.900550007685505e-2
"http/U2",5.23929664192477,5.238251653292568,5.240711727717311,2.037089595892086e-3,1.2211519474728011e-3,3.2057066337186062e-3
"http/PP",3.278482308962733,3.2768579154995985,3.2805604606656136,3.123362820568046e-3,2.2501841699836826e-3,3.980047786618777e-3
"json/AP",0.38931180534640025,0.3888408809689588,0.3901633649853773,1.0300015039559206e-3,2.950062140160197e-4,1.4312606271565179e-3
"json/P2",0.820216646769435,0.8194145351437636,0.8219906478909559,1.9005361270285229e-3,3.4700941221060464e-4,2.9569835765246217e-3
"json/P3",1.1684472948102063,1.1666895061520641,1.1723592906979627,4.231042843319568e-3,1.9523369770555507e-3,6.7758751508087845e-3
"json/U1",1.0667623668698376,1.0658799558667247,1.068115344622523,1.8370904925258038e-3,1.206714032111078e-3,2.6184550803121844e-3
"json/U2",1.301141253092677,1.2999913126019544,1.30252358017245,2.12025432594192e-3,1.679229389243644e-3,2.501836656094612e-3
"json/PP",0.7032630115536758,0.7030105262784071,0.7034950643567152,4.1328013270651464e-4,2.928943591412649e-4,5.956830188312769e-4
"css/AP",0.614944282153041,0.6142940193203992,0.6164123445538587,1.5794756578326277e-3,6.823478944190584e-4,2.553664732869146e-3
"css/P2",1.0735293775586194,1.072110596278102,1.0763280778912612,3.1665158555819724e-3,4.06277687115723e-4,4.770399401280825e-3
"css/P3",1.80339712200442,1.8012666135815685,1.8051601320294446,3.2976762058241744e-3,2.3869156950946514e-3,4.363089656396081e-3
"css/U1",3.9062287717846935,3.899065533259303,3.9182113557843277,1.5400161353619627e-2,3.5039453491987407e-3,2.0030603537741956e-2
"css/U2",1.4183152109173842,1.4169786363629406,1.4198579937008922,2.453066325224381e-3,1.7429944035568263e-3,3.3542231569463317e-3
"css/PP",2.1952139764813494,2.193516531565577,2.198304215052516,3.7924314354373383e-3,1.888120217555462e-3,6.104496454500622e-3
