Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"csv/AP",2.7702932994540148e-2,2.7644615810091908e-2,2.7755551974947862e-2,9.404910019282593e-5,6.690595814283892e-5,1.323672644023251e-4
"csv/P2",1.8857389133150985e-2,1.882613245743077e-2,1.8903380077059675e-2,6.412458164324095e-5,3.3604232048357247e-5,8.973020473464029e-5
"csv/P3",2.6022988002474715e-2,2.5946574847872668e-2,2.6151519458468372e-2,1.648352347799881e-4,1.0077078698119192e-4,2.5245732438994165e-4
"csv/U1",9.364641253250403e-2,8.891306463974279e-2,9.844933096664708e-2,8.103080570603344e-3,7.162714712612077e-3,8.661866618749237e-3
"csv/U2",0.15973182265060704,0.1586401516606168,0.163409596126254,3.0869407678037375e-3,5.135478396756071e-4,5.15378146631279e-3
"csv/PP",3.318546358841221e-2,3.3124762218172954e-2,3.3250289600069934e-2,1.0669581415223918e-4,8.932072047007437e-5,1.2422013464288915e-4
"expr/AP",9.604571406143468e-2,9.570942465561193e-2,9.699750487106602e-2,9.099048226541217e-4,2.2775246664410398e-4,1.5121473165058004e-3
"expr/P2",0.14334335867660802,0.14261653963821688,0.1459617430378751,2.1206715292901635e-3,1.6998963430228962e-4,3.5097090361222785e-3
"expr/P3",0.14197300020950596,0.14186189715164463,0.14224277083175937,2.7950109317977724e-4,1.0069535608245838e-4,4.653164297213448e-4
"expr/U1",0.2727499062229948,0.2717644745518522,0.2755731636692838,2.7987914523554544e-3,3.3706607290174054e-4,4.702290828557295e-3
"expr/U2",0.4429555708576994,0.4308834129978971,0.484884958903964,3.400514462182202e-2,4.349692603575029e-4,5.595156624366464e-2
"expr/PP",0.26933582369583414,0.269199186008151,0.2695164257695036,2.6615303974443765e-4,1.6181881115764272e-4,3.8471912642637024e-4
"url/AP",0.12880394999283115,0.12853358332412998,0.1295839363743619,7.518910435150161e-4,1.496323478171718e-4,1.2603573423563069e-3
"url/P2",0.13962121550339024,0.13952568117874423,0.13978920523422522,2.114030710678694e-4,1.2753144280727008e-4,3.1642333315451036e-4
"url/P3",0.18255444113510408,0.18199952189224522,0.18457594458359045,1.6272927577100822e-3,1.6331979341868417e-4,2.698561752157526e-3
"url/U1",0.2585474306752042,0.2523247772862271,0.2700493389775114,1.3174965124615821e-2,2.2285079943947178e-4,1.7242514807878324e-2
"url/U2",2.4966954046894863,2.485000782649691,2.519958501498873,2.7045333631959663e-2,1.5145466712081947e-2,4.211525985214666e-2
"url/PP",0.17641249243515295,0.17620564047592444,0.176829105060275,4.79982108584028e-4,2.3883611490216466e-4,7.39550752395263e-4
"http/AP",0.12169678751724522,0.12134206835525792,0.12297750059860509,1.056363119132751e-3,8.894672968973286e-5,1.7549705029065988e-3
"http/P2",0.10571485106247228,0.10561459604996007,0.1058569246937589,2.02471200236183e-4,1.2381392297460036e-4,3.147625331529206e-4
"http/P3",0.15778499190109532,0.1572252804447965,0.15984314028518956,1.6582986973042299e-3,1.520646166232808e-4,2.751869281032212e-3
"http/U1",0.39293468539017007,0.3810082012821989,0.4139378601719693,2.584750432337293e-2,7.688090697051586e-3,3.296997642503782e-2
"http/U2",0.35816810671585364,0.35684574190872476,0.36151409689682285,3.2075725868818605e-3,2.4416719729139686e-4,5.145474678851947e-3
"http/PP",0.26736543719070716,0.2663970762898282,0.2692286068608121,2.1995185587882636e-3,8.540529338320442e-4,3.2608195840638505e-3
"json/AP",1.4522319476778916e-2,1.4505892436678816e-2,1.4539032619173931e-2,2.8322280797919128e-5,2.244316934973866e-5,3.608473924366465e-5
"json/P2",5.303490702408115e-2,5.301025454300205e-2,5.3056984584505966e-2,3.9805106579397464e-5,2.8741675875349795e-5,5.528103786496067e-5
"json/P3",6.567342821853918e-2,6.563644949692052e-2,6.572549883621495e-2,7.412576813772002e-5,4.0245836121311556e-5,9.969386717097688e-5
"json/U1",3.305948321121495e-2,3.2998400371249126e-2,3.321066443222325e-2,1.5630727420053674e-4,2.824054399019548e-5,2.6633539336049444e-4
"json/U2",4.8239856403048446e-2,4.725378100174229e-2,5.2099710147555274e-2,3.057242115986226e-3,4.235180947657435e-5,5.018840613698546e-3
"json/PP",3.9352231662447855e-2,3.9196568172152446e-2,3.960259501236241e-2,3.3547951604443843e-4,2.268302104530937e-4,4.6493692161831297e-4
"css/AP",5.618541781204503e-2,5.60679728199796e-2,5.635955874222081e-2,2.4125842537381533e-4,1.3991265001991911e-4,3.7290794895658775e-4
"css/P2",6.055558268326085e-2,6.048381869095127e-2,6.062522475021641e-2,1.2040221913784542e-4,9.008144353659124e-5,1.602804823931046e-4
"css/P3",0.12379000727432532,0.11958785597580235,0.1286972576786832,7.6208053653119175e-3,6.009501474475422e-3,8.571576724256265e-3
"css/U1",0.23016825262802398,0.2299693400074796,0.23037653509872713,3.466819810236439e-4,2.3487286522084894e-4,5.298581159293148e-4
"css/U2",0.13757720534103673,0.13585486952560707,0.14401159827011384,5.155347809378698e-3,1.729476241116038e-4,8.506255361762725e-3
"css/PP",0.10651720110672278,0.10635116640823644,0.10690374914902012,4.0340350702483963e-4,1.821044304956922e-4,6.474133115067039e-4
